  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          
   1.413E+017  5.307E-001  1.176E-007  1.620E-013  2.168E-012  8.024E-011  8.500E-002  1.371E-009  3.082E-014  5.367E-016  5.532E-006
   1.585E+017  6.288E-001  1.697E-007  1.778E-013  2.269E-012  6.065E-011  8.500E-002  1.774E-009  3.271E-014  5.695E-016  8.737E-006
   1.778E+017  7.226E-001  2.340E-007  1.996E-013  2.243E-012  3.997E-011  8.500E-002  2.305E-009  3.341E-014  6.310E-016  1.323E-005
   1.995E+017  8.063E-001  3.105E-007  2.290E-013  2.068E-012  2.241E-011  8.500E-002  3.015E-009  3.288E-014  7.331E-016  1.944E-005
   2.239E+017  8.750E-001  3.989E-007  2.684E-013  1.751E-012  1.042E-011  8.500E-002  3.988E-009  3.154E-014  8.929E-016  2.791E-005
   2.512E+017  9.265E-001  4.984E-007  3.202E-013  1.344E-012  3.924E-012  8.500E-002  5.366E-009  3.038E-014  1.135E-015  3.937E-005
   2.818E+017  9.612E-001  6.085E-007  3.872E-013  9.261E-013  1.174E-012  8.500E-002  7.403E-009  3.102E-014  1.494E-015  5.476E-005
   3.162E+017  9.819E-001  7.289E-007  4.725E-013  5.740E-013  2.784E-013  8.500E-002  1.060E-008  3.567E-014  2.017E-015  7.528E-005
   3.548E+017  9.926E-001  8.593E-007  5.791E-013  3.346E-013  5.508E-014  8.500E-002  1.605E-008  4.775E-014  2.764E-015  1.025E-004
   3.981E+017  9.975E-001  9.996E-007  7.017E-013  2.188E-013  1.117E-014  8.500E-002  2.629E-008  7.424E-014  3.026E-015  1.364E-004
   4.467E+017  9.993E-001  1.153E-006  7.232E-013  2.046E-013  3.222E-015  8.500E-002  4.256E-008  1.183E-013  4.829E-016  1.495E-004
   5.012E+017  9.998E-001  1.329E-006  6.858E-013  2.445E-013  1.026E-015  8.500E-002  6.109E-008  1.692E-013  3.027E-016  1.498E-004
   RADIUS      H           H+          H-          H2+         H3+         He          He+         HeH+        C-          C+          



   RADIUS      C           CH+         CH          CH-         N+          N           CH2         CH2+        CH3+        NH+         
   1.000E+014  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000  0.000E+000
   1.122E+014  1.079E-013  5.054E-020  2.276E-019  9.161E-025  2.544E-020  3.521E-013  1.024E-013  3.792E-020  3.106E-015  1.960E-020
