  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.778E+017  9.832E+002  1.000E+001  4.348E-001  4.491E-001  2.947E-012  0.000E+000  0.000E+000  1.932E+003
   1.995E+017  7.810E+002  1.000E+001  3.875E-001  4.850E-001  3.764E-012  0.000E+000  0.000E+000  1.932E+003
   2.239E+017  6.204E+002  1.000E+001  3.453E-001  5.200E-001  4.897E-012  0.000E+000  0.000E+000  1.932E+003
   2.512E+017  4.928E+002  1.000E+001  3.078E-001  5.541E-001  6.464E-012  0.000E+000  0.000E+000  1.933E+003
   2.818E+017  3.914E+002  1.000E+001  2.743E-001  5.868E-001  8.998E-012  0.000E+000  0.000E+000  1.933E+003
   3.162E+017  3.109E+002  1.000E+001  2.445E-001  6.182E-001  1.383E-011  0.000E+000  0.000E+000  1.933E+003
   3.548E+017  2.470E+002  1.000E+001  2.179E-001  6.481E-001  2.698E-011  0.000E+000  0.000E+000  1.933E+003
   3.981E+017  1.962E+002  1.000E+001  1.942E-001  6.763E-001  1.010E-010  0.000E+000  0.000E+000  1.933E+003
   4.467E+017  1.558E+002  1.000E+001  1.731E-001  7.029E-001  1.665E-010  0.000E+000  0.000E+000  1.933E+003
   5.012E+017  1.238E+002  1.000E+001  1.543E-001  7.279E-001  1.727E-010  0.000E+000  0.000E+000  1.933E+003
